playlist,song_name,song_popularity,song_duration_ms,song_explicit,audio_danceability,audio_energy,audio_key,audio_loudness,audio_mode,audio_speechiness,audio_acousticness,audio_instrumentalness,audio_liveness,audio_valence,audio_tempo,audio_time_signature,album_name,album_release_date,album_total_tracks,album_popularity,artist_popularity,artist_followers,genre_abstract hip hop,genre_african electronic,genre_afro soul,genre_afrobeat,genre_afrobeat brasileiro,genre_afrobeats,genre_afrofuturism,genre_afrofuturismo brasileiro,genre_afropop,genre_afroswing,genre_album rock,genre_alt z,genre_alternative americana,genre_alternative dance,genre_alternative hip hop,genre_alternative metal,genre_alternative pop rock,genre_alternative r&b,genre_alternative rock,genre_anti-folk,genre_argentine hip hop,genre_argentine rock,genre_art pop,genre_atl hip hop,genre_auckland indie,genre_aussietronica,genre_austindie,genre_australian dance,genre_australian electropop,genre_australian hip hop,genre_australian house,genre_australian indie,genre_australian pop,genre_australian psych,genre_australian r&b,genre_australian reggae fusion,genre_australian surf rock,genre_austrian indie,genre_balkan beats,genre_balkan brass,genre_banjo,genre_baroque pop,genre_bases de freestyle,genre_bass house,genre_bass trap,genre_bassline,genre_bedroom pop,genre_belgian hip hop,genre_belgian pop,genre_bergen indie,genre_big beat,genre_birmingham grime,genre_birmingham indie,genre_bleep techno,genre_boom bap brasileiro,genre_bossbeat,genre_brazilian hip hop,genre_brazilian indie,genre_brazilian reggae,genre_brazilian rock,genre_breakbeat,genre_brighton indie,genre_bristol indie,genre_british experimental,genre_british indie rock,genre_british invasion,genre_british soul,genre_britpop,genre_britpop revival,genre_brostep,genre_canadian electronic,genre_canadian electropop,genre_canadian hip hop,genre_canadian house,genre_canadian rock,genre_candy pop,genre_caracas indie,genre_chamber pop,genre_chamber psych,genre_channel islands indie,genre_charva,genre_chicago rap,genre_chill abstract hip hop,genre_chillwave,genre_christian rock,genre_classic dubstep,genre_classic rock,genre_cologne indie,genre_colombian hip hop,genre_colombian indie,genre_colombian pop,genre_colombian rock,genre_complextro,genre_conscious hip hop,genre_crank wave,genre_cuban alternative,genre_cumbia,genre_cyberpunk,genre_dance pop,genre_dance rock,genre_dance-punk,genre_dancefloor dnb,genre_dancehall,genre_dancehall queen,genre_danish electropop,genre_danish hip hop,genre_danish pop,genre_dark disco,genre_dark trap,genre_deep dubstep,genre_deep house,genre_deep liquid bass,genre_deep underground hip hop,genre_desi hip hop,genre_desi trap,genre_downtempo,genre_downtempo bass,genre_dream pop,genre_dream trance,genre_drill,genre_drill espanol,genre_drum and bass,genre_dub brasileiro,genre_dublin indie,genre_dutch dnb,genre_dutch edm,genre_dutch house,genre_dutch indie,genre_dutch indie rock,genre_dutch rock,genre_east coast hip hop,genre_edinburgh indie,genre_edm,genre_electra,genre_electro,genre_electro house,genre_electro-pop francais,genre_electroclash,genre_electronic rock,genre_electronic trap,genre_electronica,genre_electropop,genre_emo rap,genre_english indie rock,genre_escape room,genre_etherpop,genre_experimental house,genre_experimental r&b,genre_fidget house,genre_filmi,genre_filter house,genre_float house,genre_folk-pop,genre_frauenrap,genre_french dnb,genre_french hip hop,genre_french indie pop,genre_french indietronica,genre_french psychedelic,genre_french shoegaze,genre_french synthpop,genre_funk carioca,genre_funk ostentacao,genre_funk pop,genre_funk rj,genre_funktronica,genre_future bass,genre_future garage,genre_g-house,genre_game mood,genre_gangster rap,genre_garage rock,genre_garage rock revival,genre_gauze pop,genre_gengetone,genre_german alternative rap,genre_german hip hop,genre_german house,genre_german indie,genre_german pop,genre_german techno,genre_glitch hop,genre_glitchcore,genre_grime,genre_gypsy fusion,genre_gypsy punk,genre_halftime dnb,genre_hamburg electronic,genre_hardcore hip hop,genre_harlem hip hop,genre_hip hop,genre_hip hop tuga,genre_hopebeat,genre_house,genre_hyperpop,genre_icelandic indie,genre_icelandic rock,genre_indie anthem-folk,genre_indie curitibano,genre_indie electropop,genre_indie emo,genre_indie folk,genre_indie garage rock,genre_indie hip hop,genre_indie pop,genre_indie poptimism,genre_indie r&b,genre_indie rock,genre_indie soul,genre_indie surf,genre_indie valenciana,genre_indietronica,genre_industrial,genre_industrial metal,genre_industrial rock,genre_instrumental grime,genre_instrumental hip hop,genre_irish hip hop,genre_irish indie rock,genre_irish pop,genre_irish rock,genre_israeli indie,genre_israeli pop,genre_italian adult pop,genre_italian hip hop,genre_italian pop,genre_j-rap,genre_jam band,genre_jamaican dancehall,genre_japanese electropop,genre_jazztronica,genre_jewish hip hop,genre_josei rap,genre_kent indie,genre_kentucky hip hop,genre_kenyan r&b,genre_kiwi rock,genre_korean dream pop,genre_kwaito,genre_la indie,genre_la pop,genre_latin alternative,genre_latin funk,genre_latin rock,genre_latin viral pop,genre_latintronica,genre_leicester indie,genre_leipzig electronic,genre_limerick indie,genre_liquid funk,genre_lo-fi house,genre_london indie,genre_london rap,genre_louisville indie,genre_manchester hip hop,genre_manchester indie,genre_manguebeat,genre_mashup,genre_melancholia,genre_melbourne indie,genre_melodic drill,genre_metropopolis,genre_miami hip hop,genre_milan indie,genre_minimal tech house,genre_minimal techno,genre_modern alternative pop,genre_modern alternative rock,genre_modern blues rock,genre_modern bollywood,genre_modern hard rock,genre_modern indie pop,genre_modern jungle,genre_modern power pop,genre_modern reggae,genre_modern rock,genre_moombahton,genre_mpb,genre_multidisciplinary,genre_nantes indie,genre_neo-psychedelic,genre_neo-synthpop,genre_neon pop punk,genre_new americana,genre_new french touch,genre_new jersey rap,genre_new rave,genre_nigerian pop,genre_noise pop,genre_north east england indie,genre_northern irish indie,genre_norwegian contemporary jazz,genre_norwegian indie,genre_norwegian jazz,genre_norwegian pop,genre_norwegian pop rap,genre_nottingham hip hop,genre_nottingham indie,genre_nova mpb,genre_nu disco,genre_nu gaze,genre_nu jazz,genre_nu metal,genre_nu-cumbia,genre_nyc pop,genre_nz hip hop,genre_nz pop,genre_oakland hip hop,genre_oakland indie,genre_old school atlanta hip hop,genre_old school bassline,genre_one-person band,genre_oxford indie,genre_pacific islands pop,genre_pagode baiano,genre_panamanian pop,genre_permanent wave,genre_philly indie,genre_piano rock,genre_pixel,genre_political hip hop,genre_polynesian hip hop,genre_pop,genre_pop catracho,genre_pop dance,genre_pop edm,genre_pop electronico,genre_pop emo,genre_pop house,genre_pop lgbtq+ brasileira,genre_pop nacional,genre_pop punk,genre_pop rap,genre_pop rock,genre_pop urbaine,genre_pop virale italiano,genre_portland hip hop,genre_portuguese rock,genre_post-grunge,genre_pov: indie,genre_progressive electro house,genre_progressive house,genre_psychedelic hip hop,genre_psychedelic pop,genre_puerto rican indie,genre_puerto rican pop,genre_queens hip hop,genre_queercore,genre_r&b brasileiro,genre_r&b en espanol,genre_raboday,genre_rage rap,genre_ragga jungle,genre_rap,genre_rap canario,genre_rap feminino nacional,genre_rap latina,genre_rap nacional antigo,genre_rap napoletano,genre_rave,genre_reading indie,genre_reggae fusion,genre_reggaeton,genre_reggaeton colombiano,genre_rochester ny indie,genre_rock,genre_rock en espanol,genre_rock independant francais,genre_rock uruguayo,genre_rome indie,genre_roots rock,genre_sad lo-fi,genre_sad rap,genre_salsa choke,genre_samba reggae,genre_scandinavian r&b,genre_scottish electronic,genre_scottish hip hop,genre_scottish indie rock,genre_scottish rock,genre_seattle indie,genre_shimmer pop,genre_shimmer psych,genre_shiver pop,genre_shoegaze,genre_singer-songwriter,genre_south african house,genre_south african pop,genre_southern hip hop,genre_spanish indie pop,genre_sped up,genre_stomp and holler,genre_stomp pop,genre_sudanese hip hop,genre_sudanese pop,genre_swedish alternative rock,genre_swedish electropop,genre_swedish hip hop,genre_swedish indie pop,genre_swedish pop,genre_swedish soul,genre_swedish synthpop,genre_tech house,genre_trap,genre_trap argentino,genre_trap italiana,genre_trap latino,genre_trap queen,genre_trip hop,genre_tropical alternativo,genre_tropical house,genre_turntablism,genre_uk alternative hip hop,genre_uk alternative pop,genre_uk contemporary r&b,genre_uk dance,genre_uk dnb,genre_uk hip hop,genre_uk house,genre_uk pop,genre_uk post-punk revival,genre_ukg revival,genre_underground hip hop,genre_urbano espanol,genre_urbano latino,genre_uruguayan indie,genre_vapor pop,genre_vapor soul,genre_vapor twitch,genre_venezuelan hip hop,genre_venezuelan indie,genre_venezuelan rock,genre_viral pop,genre_washington indie,genre_welsh rock,genre_world,genre_world fusion,genre_zambian hip hop,genre_zimdancehall,genre_zurich indie
FIFA14,Hearts Like Ours,0,272053,False,0.372,0.667,6,-6.315,0,0.0305,4.11e-05,0.109,0.0844,0.151,177.901,4,Hearts Like Ours,2013-01-01,1,0,55,714469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Here,0,251346,False,0.576,0.951,4,-3.832,0,0.0824,0.0148,0.000284,0.626,0.262,139.868,4,Just Movement,2013-02-05,12,0,40,114850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Hit It,0,206853,False,0.639,0.934,7,-3.672,1,0.0897,0.00197,0.0,0.402,0.758,120.052,4,American Authors,2013-08-27,5,0,65,1566579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Hot,29,203400,False,0.749,0.839,7,-6.406,1,0.181,0.0106,0.0221,0.0889,0.543,100.019,4,El Negrito Dun Dun & Ricardo,2014-01-01,14,22,25,12267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,I'm with You,37,334160,False,0.499,0.809,6,-7.508,0,0.0748,0.414,0.215,0.445,0.405,139.961,4,Spreading Rumours (Deluxe),2013-09-17,16,40,63,1156779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Little Games,0,162613,False,0.577,0.818,10,-4.748,1,0.042,0.00061,0.00128,0.14,0.636,110.504,4,Little Games,2013-01-01,1,0,38,49844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Lived A Lie,0,203213,False,0.47,0.902,7,-3.922,1,0.0399,0.0553,0.0,0.276,0.486,132.772,4,Cavalier Youth,2014-01-01,13,0,56,721546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Love Me Again,0,239894,False,0.497,0.888,2,-4.715,0,0.0452,0.00393,0.000562,0.0968,0.236,126.046,4,Love Me Again,2013-01-01,4,0,67,720352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Magic,0,240517,False,0.617,0.925,2,-5.708,1,0.0364,0.00427,0.00223,0.36,0.564,116.981,4,Magic,2013-06-25,1,0,36,19853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA14,Mechanical,0,226285,False,0.572,0.746,10,-6.221,1,0.0278,0.00257,0.166,0.363,0.578,140.0,4,Mechanical,2013-01-22,4,0,43,54561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
